moviename,cast,certificates
The Machinist,,
The Machinist,Christian Bale,Argentina:16
The Machinist,Jennifer Jason Leigh,Brazil:16
The Machinist,Aitana Sánchez-Gijón,Canada:18A (video rating) 
The Machinist,John Sharian,France:12
The Machinist,Michael Ironside,Hungary:18
The Machinist,Lawrence Gilliard Jr.,Ireland:16
The Machinist,Reg E. Cathey,Malaysia:18PL
The Machinist,Anna Massey,Netherlands:16
The Machinist,Matthew Romero Moore,Norway:15
The Machinist,Robert Long,Portugal:M/16
The Machinist,Colin Stinton,South Korea:15
The Machinist,Craig Stevenson,Sweden:15
The Machinist,Ferran Lahoz,United States:R
American Gangster,,
American Gangster,Denzel Washington,Argentina:16
American Gangster,Russell Crowe,Austria:16
American Gangster,Chiwetel Ejiofor,Canada:18A (Alberta/British Columbia/Manitoba/Ontario) 
American Gangster,Josh Brolin,Denmark:15
American Gangster,Lymari Nadal,France:Tous publics (with warning) 
American Gangster,Ted Levine,Hong Kong:IIB
American Gangster,Roger Guenveur Smith,Ireland:16
American Gangster,John Hawkes,Italy:VM14
American Gangster,RZA,Malaysia:18PL
American Gangster,Yul Vazquez,Netherlands:16
American Gangster,Malcolm Goodwin,New Zealand:R16
American Gangster,Ruby Dee,Peru:14
American Gangster,Ruben Santiago-Hudson,Portugal:M/16
American Gangster,Carla Gugino,Singapore:M18
American Gangster,Skyler Fortgang,Spain:18
American Gangster,John Ortiz,Switzerland:14 (canton of Geneva) 
American Gangster,Cuba Gooding Jr.,Taiwan:R-18 (original rating) 
American Gangster,Armand Assante,United States:R (certificate #43495) 
The Hudsucker Proxy,,
The Hudsucker Proxy,Tim Robbins,Argentina:Atp
The Hudsucker Proxy,Jennifer Jason Leigh,Brazil:12
The Hudsucker Proxy,Paul Newman,France:Tous publics
The Hudsucker Proxy,Charles Durning,Iceland:L
The Hudsucker Proxy,John Mahoney,Portugal:M/12
The Hudsucker Proxy,Jim True-Frost,South Korea:15
The Hudsucker Proxy,Bill Cobbs,Sweden:11
The Hudsucker Proxy,Bruce Campbell,United States:PG (No. 32848) 
The Man from Earth,,
The Man from Earth,David Lee Smith,Australia:PG
The Man from Earth,Tony Todd,Germany:0
The Man from Earth,John Billingsley,Portugal:M/12
The Man from Earth,Ellen Crawford,South Korea:12 (2017) 
The Man from Earth,Annika Peterson,United Kingdom:PG
Cidade de Deus,,
Cidade de Deus,Alexandre Rodrigues,Argentina:16
Cidade de Deus,Leandro Firmino,Austria:14
Cidade de Deus,Phellipe Haagensen,Brazil:16 (re-rating) 
Cidade de Deus,Douglas Silva,Canada:18 (Nova Scotia) 
Cidade de Deus,Jonathan Haagensen,Canada:13+ (Quebec) 
Cidade de Deus,Matheus Nachtergaele,Finland:K-18
Cidade de Deus,Seu Jorge,Germany:16 (bw) 
Cidade de Deus,Jefechander Suplino,Hungary:18
Cidade de Deus,Alice Braga,Ireland:18
Cidade de Deus,Emerson Gomes,Italy:VM14
Cidade de Deus,Edson Oliveira,Netherlands:16
Cidade de Deus,Michel Gomes,Norway:15
Cidade de Deus,Roberta Rodrigues,Philippines:R-18
Cidade de Deus,Luis Otávio,Russia:16+
Cidade de Deus,Kiko Marques,Singapore:R21 (re-rating) 
Cidade de Deus,Gustavo Engrácia,South Korea:18
Cidade de Deus,Darlan Cunha,Sweden:15
Cidade de Deus,Robson Rocha,Switzerland:16 (canton of Vaud) 
Cidade de Deus,Thiago Martins,United Kingdom:18
The Girl Next Door,,
The Girl Next Door,William Atherton,Australia:R18+
The Girl Next Door,Blythe Auffarth,Indonesia:21+
The Girl Next Door,Blanche Baker,Japan:R18+
The Girl Next Door,Kevin Chamberlin,Mexico:B-15
The Girl Next Door,Dean Faulkenberry,Singapore:R21
The Girl Next Door,Gabrielle Howarth,United Kingdom:18
The Flock,,
The Flock,Richard Gere,Argentina:16
